Respondent ID,How many residents participated,Postal code (if residents are from the same neighbourhood),Indigenous,Black,Racialized,Youth,Women,Seniors,LGBTQ2S+,"Newcomers (less than 1 years in Canada,  refugees, migrants, undocumented peoples)","People with disabilities (physical, mental and/or with preexisting medical conditions)","Low-income/fixed income, precariously employed, underemployed or unemployed",Persons experiencing homelessness,Underhoused or precariously housed,Consumer survivors,Persons facing addiction challenges,Gender-based violence survivors,Incarcerated or formerly incarcerated,Persons who face cultural or religious discrimination,Ways in which you were personally impacted,"Supports, programs and services you were accessing before COVID-19",Urgent supports needed,Long term opportunities to make improvements,Three priorities for City,"Recommendations to create jobs, support small business and boost local economic development","Supports needed to share concerns, ideas and solutions with decision-makers at City Hall","Ideas on how the City, other levels of government, community partners and organizations can support your community to reduce greenhouse gas emissions and be better prepared to face the impacts of climate change","Successful actions or ideas that you, your business, your community, or your neighbourhood have implemented in response to the pandemic, that others can learn from and build on together?",Other comments or input that you would like the City to consider in planning for the COVID-19 recovery and rebuild process:,,,,,
11847967314,22,n/a,,,,,,,,,1,,,,,,,,,"On a positive note, I had more access to virtual meetings because face to face meetings were avoided due to the need for social distancing - I found that Restrictive Visitors Policies in Long Term Care and Hospital Admissions to be a huge problem. I had a serious and sudden health issue and add emergency they wanted me to be admitted. I ended up leaving against medical advice because my attendant nor my husband was allowed to be on the ward with me. - Like many people, I had a lot of problems getting access to hand sanitizer and personal   protective equipment (PPE) for people with disabilities & personal support workers (PSWS) - We are at risk of losing personal care support from family, friends, neighbours, or a community agency due to physical distancing requirements.   ","Reliable and safe transit. I did not like the fact that Wheel-Trans with screening requests for rides. Because you had to speak to a reservation is in person, I anticipated very long waits on the telephone. I have not used Wheel-Trans at all during COVID-1. - Access to libraries and library services - I really appreciated that they allow people to borrow books online, even if they did not own a library card. I really appreciated that that came about early on. - Technology support to access virtual programs and services (e.g. internet access, devices) is   very important to enable people to stay connected. In my case, going to places in person is becoming very difficult. If I am taking Wheel-Trans, I have to allow two hours each way plus the time needed to be at the event. There are limits to how many DF hours I can use for this purpose. Plus, at the event there might not be a washroom big enough for me and my attendant to fit into at the same time. The accessible cubicles in a multi-stall washroom are not big enough for me. I need the large, multi-gender type washroom. I would much rather do a virtual meeting, even after the pandemic crisis has passed.   ","There needs to be a campaign to encourage people to use and dispose of masks correctly. If they came up with something cute or humorous, I think people would pay more attention to it. People are zoning out when they hear reminders about washing hands, etc. The city could do something that’s fresh and engaging. - Wheel-Trans needs to communicate what their hygiene procedures are. They currently cannot guarantee that you would have a ride by yourself and therefore you might be in proximity to someone else. I have not used Wheel-Trans during the pandemic primarily for that reason. At your consultation session, someone said that you do get a ride by yourself. This was news to me but perhaps it’s because that person is on ACAT. I worry that Wheel-Trans operators won’t use their PPE properly – e.g., using the same gloves from person to person without changing them, not using their mask properly, removing it, etc. when needed. I think that Wheel-Trans drivers should be issued some masks with the transparent panel at the front that they could use when they are informed that they are picking up a passenger who is deaf or hard of hearing. - I think I would need help with regard to hiring attendants on DF. Half of my people decided to self-isolate or otherwise not come back so I have been utilizing my current staff to the limit. I think CILT‘s CARS roster has enormous potential to match people up. I would suggest getting some funding so the staff could be interviewed to be part of CARS and then be required to update their availability each month in order to stay on the roster. DF managers should be required to update their information annually in order to stay on the roster. It may also be helpful to have a way to reach into community colleges and other private schools who train PSWs to let them know about Direct Funding and to people on the rosters as well.   ","I would like to see virtual meetings continue past COVID-1. The meeting doesn’t have to be 10% virtual – it could also allow for people to attend in person or by teleconference. The city should use a service like Zoom rather than WebEx because WebEx has a lot of accessibility problems. Perhaps the city could do their own test comparison with actual people disabilities to see which think works better and/or connect with other municipalities who might have already done this.      I think this is important: the city is creating barriers to people with disabilities and treating us like second-class citizens. Forty years ago, if I want to go to a movie I had to go into a back alley past rows of garbage, and my friend would have to go into the front door and get an usher to open the back door from inside so I can go in. With better accessibility guidelines coming in place, we are finally able to go on the front door of public buildings, malls and many restaurants and other venues. However, the city is regressing back to this back-door policy for people with disabilities. For example, Wheel-Trans was forced to change their drop off and pick up points at Toronto Rehab from the front door to a side door near a bus stop which means a longer walk - difficult in bad weather and also no line of sight between the clinic waiting room and the vehicle. I have to go back and forth and in- and outside of the building repeatedly to ensure I don’t miss my ride. At City Hall itself, there is no easy way to access the front entrance of the building. It involves a long walk in from the bus stop on Bay Street. Recently the accessible entrance on Hagerman Street was closed to people with disabilities who had a dedicated place to wait for Wheel-Trans that was heated and had a telephone in case the ride was delayed. This needs to be addressed   - Fran’s restaurant on College Street renovated its front entrance which had a nine-inch step in front of it. I was excited to think that after years of working in this location, I’d be able to access this popular site for my lunch breaks. However, after the renovation, I just found a new step in place of the old one. There was lots of room to make a sloped entrance, but designers did not take accessibility into account, and the City didn’t bother to exercise its authority. The city needs to use its power to withhold building permits unless the building plan includes a plan for accessibility. This was not done and could have been done very easily.   ","Affordable housing RGI and 10% accessible housing to close the gap created over decades. The city has an opportunity to do this with new requests for permits to erect apartment buildings and condos. 10% accessible doesn’t mean that ONLY people disabilities could live there, it just means that whenever there is a vacancy if there is a person with a disability looking for a place to live, they would have the option for that unit, because all units would be accessible. People with disabilities would not have to wait until an accessible became available, because all units would be accessible. With only 1 to 1% of unit being accessible, it could take decades before an accessible unit happened to be available.  A huge “hot spot” under COVID-1 was the overcrowded conditions for people who are   experiencing homelessness. They are kept in unsanitary hostels and temporary residences. Yet all of a sudden, after COVID-1, we had all kinds of options: hotels and other places available for people. These private residences have to be made available on a permanent basis. Working with the province if possible, the city must provide permanent residences for people who find themselves experiencing homelessness for whatever reason. They could repurpose hotels or student residences. Many units can be freed up in a variety of buildings. I don’t recommend putting everyone who was formerly homeless in one building. When there is a mix of populations in the neighbourhood, things work out better, so I would propose freeing up housing and making sure it has a sufficient mix. - Transportation is a big issue for the city. The city must make it affordable, reliable and   enjoyable! – Why not have a contest to come up with fun ideas? Emphasize the FUN in functional.   ","Help to incubate entrepreneurial business – AccessNow is a great success story – AccessNow was big help during COVID by creating a listing of businesses that come to your home to deliver groceries, provide entertainment, etc. People with disabilities could be provided training and support in a think tank kind of environment that helps people get their idea launched an out there. - The city itself could target hiring people disabilities and support hiring with centralized accommodation fund. A centralized accommodation fund would mean the cost of an interpreter or an attendant for an employee with a disability would be absorbed across the city’s budget as a whole – not within one small department. - The city could create and promote virtual jobs that can be done remotely. This could be   any number of creative jobs and technical jobs like websites design and testing. Many sectors have found that employees are working quite well virtually, and his presents new opportunities for something will disabilities. The city could use a total revamp of its website – it is very hard to find information if you don’t know exact name of committee, service, initiative etc. that you are looking for. Their website needs to think about what people are looking for when they go to the city’s page and to be intuitive about what to our residents are looking for when they go to webpage. - For example, I was looking for the video record of the City’s Accessibility Advisory Committee, and I had a very hard time finding it.   ","An Online Q and A on the city’s website would be helpful. Not just a long FAQ, but something dynamic and interactive. - Introduce a live “May I help you?” feature when visiting the website to direct people to what they want - As mentioned earlier, hold meetings with an accessible format like Zoom; when meetings are live again, continue to allow a Zoom option so that more people can participate – not just as passive absorbers but also as presenters, members and debutants   ",,"Citizens With Disabilities – Ontario held two held virtual chats with people with disabilities to share information at the national, provincial and municipal level relating to COVID-1, program and services available, and to offer a chance for peer support. Over this case, we have found that the best advice for people disabilities has come from people with disabilities themselves! - Citizens With Disabilities - Ontario created and posted two “Living Documents” which are   updated as new material is available:   COVID Guide for people with disabilities can be found on our website at www.cwdo.org   Toronto Guide for the “newly disabled” – this document predates COVID-1, but we have received positive comments about it – even from people who have been living with a disability for a long time. This can also be found on our website at www.cwdo.org","The city can learn from people with disabilities. For example, we have learned how to meet remotely; how to get supplies delivered at home. - Ensure that slide walks don’t get cluttered – leave room for people in wheelchairs to pass by. This is becoming more of an issue because sidewalk patios need to space out seating to ensure there is social distancing, but this is also narrowing the pathway for people who use mobility devices and putting things unexpectedly into a travel path where someone with a visual impairment might trip over it and injure themselves. - Use your authority when issuing building permits to withhold them if the building plan is perpetuating or creating accessibility barriers – e.g., as mentioned above with Fran’s Restaurant on College street. Similarly, the city can withhold a building permit for new apartments or condominiums that won’t have 10% accessibility. Yes, a few builders might decide to do business with another municipality, but most of them are attracted to Toronto and want to do their business here. If the city holds firm to accessibility principles, they will do a great thing for people with disabilities in the city and also for people who will continue to live in the city as they get older and need accessibility and accommodations.   ",,,,,
11839384180,10,M6K,,,1,1,1,,,,1,1,,,,,,,,"The following consultation was hosted with a group of Filipinx community members in Parkdale. The core themes they identified are:     Contracted COVID-1: One of the respondents contracted COVID-1 on May **, and expressed that she almost died. 1 days into her illness, her daughter was tested positive. The family is still positive for COVID-1.      Friend or family contracted COVID-1: One man’s wife and family friends had been diagnosed with COVID 1, which impacted his mental health.    Lost employment or income: Most people were working and were able to pay their rent before the pandemic, but after COVID-1 they were laid off or their hours were significantly reduced (e.g. cut from 1 hours to 1 hours per week) so they had to turn to other sources to get food and pay their rent. Some people noted that they were living paycheck to paycheck before the pandemic hit, and are now dependent on CERB to cover rent and bills but have no room for other expenses such as food.     Required to work longer hours: One person who worked from home for a Financial Investment Company during COVID-1 noted that their work hours are longer and that they’re required to work more. They noted that it is not a healthy environment working from home all the time, because they work and sleep in the same room. As a result they feel anxious and are affected physically and mentally.     Felt sad, anxious, overwhelmed, or lonely: People were worried about their rent, job, food, friends, family members, and people back home in the Philippines and they became overwhelmed and anxious. Several people noted that this experience led to significant mental health challenges, such as depression, and physical health challenges, such as dental conditions that are worsened by stress.    Had to visit a food bank or access food programs: Several of the participants were grateful for their community and groups like PARC and Mutual Aid Parkdale to support them with accessing food.    Other - Impact on Studies: A student noted that online courses will have a significant impact on their studies. ","Access to recreational facilities or programming:  People used to access recreational facilities in the neighbourhood before they shut down.     Space for people to meet safely in communities or to deliver important community programs and services in person or virtually: Before the Pandemic, community members would see each other and take care of each other. But during the pandemic, they couldn’t see each other and needed to access support from others.    Skills training and employment supports: One of the youth relied on skills training and employment support from his school, but since the pandemic hit all of the job fairs and seminars were postponed.  Until now, youth are waiting for these opportunities from their schools.","Food banks and other food security programs: Participants shared that free food programs will be a necessary urgent support because employers are scheduling shorter shifts, and income will be less because of reduced hours and family members being laid off. Several participants noted that they had never accessed a food bank until the pandemic hit. One person said that they would like to have a neighborhood pantry where people could bring food and other people can take food.    Skills training and employment support: Many people have lost their job, so they would like the opportunity to gain different employment skills and participate in job fairs where they can access employment opportunities where you can work from home for safety purposes. People want the government to invest in entrepreneurship programs so people can open their own businesses.    Mental health supports and/or supports to address social isolation: Participants shared we need to focus on mental health programs to support people who are experiencing anxiety, depression, and heightened mental health challenges that also impact physical health.     No COVID-1 Evictions: One participant noted that for the next six months, tenants urgently need support. You feel free, safe, and stable in your building when you know that you will not get evicted if you miss a month of your rent.  One participant suggested installment plans during COVID-1, in small amounts not in full amounts by working with the landlord.  Another participant shared that their landlord waived their rent for two months because they were COVID-positive, and suggested that more people should be eligible for waiving their rent during the pandemic.   ","Increased Visibility and Support for Community Organizations: Several participants shared that before COVID-1, they did not know that Parkdale Activity-Recreation Centre (PARC) existed. Only during the pandemic they learned that there is a group of people at PARC who work with the community and what to do the best for the community. They believe that the government can better support this kind of organization and help make it more visible. They suggested more flyers, social media advertisements, open houses, and translated materials in Tagalog.    Local Food Security Initiatives: The government can support food security initiatives by directing supermarkets to install containers to collect donations for local initiatives, such as PARC and Mutual Aid Parkdale, to re-distribute to those in need. Instead of giving donations to **, we should have donations stay in Parkdale. If we collect food from No Frills and larger food chains, we can designate the donations for an area in South Parkdale and there can be a schedule for drop offs.    Sanitation: During COVID-1, the TTC has improved their practice of cleaning the subway, streetcars, and buses.  After the recovery, they should continue to clean these spaces.  Prior to COVID-1, it felt unclean and unsanitary.  ","1. Rent control (1): Rent is too high in Parkdale and we need programs like rent control. Many people are homeless because they couldn’t pay their rent. We need people to advocate for the homeless. The City needs to build housing for low income and marginalized people.     2. Healthcare (1): The group advocated for accessible and affordable healthcare, not only for COVID-1 but other health situations so they can easily access laboratories, doctor consultations, and medicine. We also need public health education about how to control the spread of this virus.     1. Employment (1): We need the government and organizations to help people get access to employment and job training programs.","Small Business Loans: Many small businesses have closed, so the government should extend the time to help them.  Businesses need capital, and once they open again they will have income and create jobs.     Online Job Fairs: Local governments need to contact local companies and create online job fairs. One participant shared that 1% of companies do not operate online, so the government needs to reach out to them and collaborate to create jobs that are accessible for people to apply online. The City, small businesses, local organizations, and local residents could gather online or in person to collaborate and support people to participate in job creation, training and employment.    Support Small Local Businesses: Communities need to purchase local products to support small businesses.    Create Jobs and Entrepreneurial Supports: Create employment opportunities in emergent industries, such as Personal Protective Equipment which is in high demand. Likewise, people shared the opportunity for people to prepare cooked meals or share their cooking skills with people who do not know how to cook, which could be promoted at local farmers markets. People have many skills (e.g. cooking, baking, cutting hair) which could be converted into an entrepreneurial opportunity.  ","The group recognized that marginalized groups are systematically not heard by the City of Toronto, drawing examples from the Black Lives Matter movement and the emergence of encampments across the City (Queen and Dufferin, Bathurst and Dundas, Trinity Bellwoods). They noted that for people who do not have access to the internet, engagement is incredibly difficult, and therefore the City needs to build engagement plans that involve in-person action centres or over the phone support for people to share their concerns and ideas. They also called for community organizations to better support and include marginalized groups, noting that “these people are begging for change and most need help.” When reflecting on the housing crisis, they also noted that shelters are full and therefore the City needs to prioritize building more shelters and permanent affordable housing instead of people squatting and being exposed to the spread of the virus. We need to prioritize homeless community members in the decision making processes of the City and give them shelter support so that they can live in a decent home and control the spread of the virus. ","We need to follow community and youth leaders to help advance their visions for the future, such as the following climate change initiatives:    Affordable or free transit: The group unanimously agreed that the City needs to lower the fare for TTC to encourage people to use public transit - the fares are currently too expensive.    Waste reduction: The group discussed waste reduction, and gave the specific example of promoting reusable masks to limit littering and create entrepreneurial opportunities for local sewers to make masks.     Community gardens: The group discussed the benefits of community gardens where you can plant vegetables, fruits, and trees and then sell the produce in local markets. They noted that gardening is a healthy activity that can reduce stress and help with mental health.    Limit plastics: The group noted that we need to use less plastic because it is really bad for the environment. They shared that big things start with small beginnings.     Active transportation: The group encourages the use of e-bikes to limit the amount of car usage, and provided the example of e-bikes on Tyndall. They also suggested making it a law.  ","The group gave the example of Mutual Aid Parkdale, who have been providing free food to community members during the pandemic. ","Questions about the COVID-1 Vaccine: The group had a series of questions about the accessibility of the vaccine once it is ready, and the government’s plan for the rest of the year: What will the government do after the 1 months? If they have the vaccine, will it be free and accessible to everyone? If I have immunity in my body do I need to get the vaccine? How accurate will it be that you don’t get the virus.  Will you get COVID like you do with the flu when you get the flu virus.      COVID-1 Protocols: People in power need to take a firm position and take clear leadership.  We can not relax our public health protocols.  The protocols we have been facing should be extended.  We need the media to share the message of how important these protocols are.    Social Responsibilities: We need to educate people about their social responsibility to each other. I will feel safe when I am in a community that respects everyone. Everyone should be responsible - if we have symptoms of COVID-1, we need to cooperate with the local community and government so we can control the virus and trace it.  Contact tracing is very important, but people are hesitant to report themselves for fear that they will be discriminated against.      Housing as Safety: Housing is a part of safety - if you don’t have housing, you’re not safe.     c",,,,,
11839342488,9,M6K,,,1,,1,1,,,,1,,,,,,,1,"The following consultation was hosted with a group of Tamil community members in Parkdale. The core themes they identified are:     Struggled to pay rent: Two respondents noted that they struggled to pay rent. One noted that they managed their rent after the CERB payments came, and one noted that she struggled while living in a 1 bedroom house with her daughter and husband and faced a lot of stress while having to stay home for long periods of time.    Required to work longer hours: Two of the respondents experienced increased stress and anxiety working frontline as essential workers. One working mother noted that she felt stressed that she may catch COVID-1 and pass it to her kids from work. One frontline worker noted the following:     “I was not really “affected” per say by the COVID-1 pandemic as I was continuing to go to work as I worked in a grocery store and I was an essential worker. Nonetheless, I had a lot of doubts as to whether I should go to work and there was a lot of stress. I live in an apartment and if this virus were to hit us, it would be difficult to safely social-distance and so there would be a lot of difficulty staying safe. Even between getting tested, the time it takes for results is quite long and we are forced to return home unsure of whether we are infected. The government has done a good job helping with CERB but with issues of social distancing, we need to continue to keep people apart and so people can do their jobs and keep everyone safe.”    Friend or family contracted COVID-1: Two respondents had friends, family members and neighbours contracted COVID-1. One respondent noted that some tenants in her building got COVID-1 and the building management team made sure to clean up the common areas. For a short period, she was unable to leave her unit and now has some mild fear of leaving home, but she is doing okay now. Another respondent expressed deep sadness about friends and distant relatives who contracted COVID-1. As a result, the respondent’s family were very scared to go outside, even to the grocery stores. They put trust in God and were hopeful that we will overcome this pandemic and be safe as a community soon.     Other - Challenges faced by seniors: One respondent shared that many seniors they knew had issues getting adequate groceries. Another respondent expressed sadness that they were unable to visit their mother who is elderly and living with their brother.    Lost employment or income: One respondent noted that COVID-1 affected their family because they lost one job. ","Most respondents noted that they did not receive supports before COVID-1. One participant attended ESL classes offered by the City of Toronto, and one participant received support with old age security and benefits before COVID-1. ","Reliable and safe transit: Four respondents advocated for the need for stronger social distancing measures on public transit, and the need for TTC to create a better system for patrons to get on and off safely.    School Reopening and Safety: Four respondents advocated for the safe reopening of schools to provide better learning environments and social structures for children. Several parents shared challenges with online learning, while also recognizing the need for regulations and precautions if schools were to reopen safely. One respondent shared the following recommendations:     “We need to help children going back to school, especially considering how they were inside their rooms and homes sitting in front of screens for hours and so their mental health is affected. We need many precautions in place before allowing children to go to school. The question of online learning is important as many kids are unable to learn in front of a screen and they need one-to-one education help so children will be successful. With in-person school, we need better safety measures but it needs to be done so school is accessible for everyone. Children are affected a lot by this pandemic and so we need to help them. Having online learning is difficult because children are unable to learn on their own at home. We must revise the online school/in-person school aspect and try our best to accommodate everyone’s needs but keep safety and health concerns in mind.”    Health Services and Public Education: Four respondents also called for expanded health services (such as extended hours at medical facilities for check-ins and blood tests) and opportunities for public education around disease spread. One respondent shared the following:     “The City needs to educate the people and teach them about the virus spread especially now as people are going out to restaurants more as the city is reopening. They should inform everyone in an accessible way such as different language support for different communities so everyone knows how serious the situation is. The idea of giving fines is good so people will follow bylaws such as wearing masks in public indoor places. Many people do not follow the 2M distancing guideline and so we need masks. I like this enforcement. Temperature checks need to be more widespread, we need these everywhere.”    Other concerns: Respondents also advocated for income supports spanning beyond the summer; access to libraries and library services; food security programs; employment supports; and concerns around increased substance use and homelessness.","Supports for the Tamil Community: The majority of the respondents described in depth the need for culturally-relevant supports for the Tamil community in Parkdale. Several respondents noted West Neighbourhood House (formerly known as St. Christopher House) had a social worker ** who used to support the Tamil community with resources, translation, and advocacy. Since the closure of the office, respondents noted that the Tamil community has been struggling to find help and advocated for a Tamil community support worker in Parkdale (or at least a Tamil interpreter). The group noted that they need community partners who can support them and the City to fund partners to support different cultural groups experiencing barriers to culturally-relevant services. For example, one respondent shared the following insights about the intersections of employment barriers with mental health, substance use, and policing in the Tamil community:      “I have a question for the Tamil community: there is a huge language problem and this impacts people finding jobs and makes them depend on welfare for a long time. We need some sort of job agencies for people with language barriers so they can be less dependent on welfare and social assistance. Many families face issues due to financial reasons and not being able to find jobs. We need a program to help individuals who are in such situations, so we can resolve and prevent familial issues and substance abuse issues that arise from these problems and stressors. There are many issues surrounding the misunderstanding and failure to learn about cultures. For example, many families in the hands of the law are being mistreated because authorities are unable to understand them and arrest them unnecessarily. We need more understanding and learning.”    Free Children’s Programs: Tamil community members also advocated for the need for free community programs for children, such as swimming lessons, homework clubs, and afterschool programs. One respondent noted that they used to receive supports from West Neighbourhood House (formerly St. Christopher House) to go sightseeing with their children, but now there are no such opportunities. There are many families in Parkdale that are unable to spend time with their kids due to financial reasons, and these programs would help parents explore the City with their children.","1. Health Care (1)  2. Affordable Housing (1) - focus on tenant rights (2)   1. Education (1) - focus on reopening schools to care for children’s wellbeing (2)     Additional areas: Tighten laws on social distancing, wearing masks, and sanitizing; prioritizing the safety of the community; and supports for transportation. ","Business Loans: Four respondents recommended increasing loans for businesses to support business owners, address issues of bankruptcy, create job opportunities, and stimulate the economy.     Employment Supports: Two respondents recommended creating employment supports to motivate residents to work and to contribute to the economy, including easy jobs for seniors.    Loosen Regulations for Local Businesses: Two respondents recommended loosening regulations in terms of work hours (e.g. working on holidays to make up for lost work) and customer allowances (e.g. allow more people into businesses and restaurants so that they can earn more money and staff can earn more wages).     Adult Education: One respondent recommended making education online or only schedule school in evening or morning to support people who are employed. ",Interpretation and Translation: The majority of the respondents noted that there is a critical need for more interpreters to easily communicate with decision-makers at City Hall. One respondent shared the following:     “We need interpreters because not everyone speaks English fluently and our children cannot always be there to help interpret so this is a big issue. Language barrier is the most important problem we need to fix. We need at least one interpreter per language in a community filled with immigrants.”    City Hotline: Respondents noted that it would be easy if there was a telephone number community members could contact to easily speak with the City of Toronto in different languages and directly share their recommendations with the help of interpreters. They also noted that technical support to access this hotline would be helpful.     Community Meetings: A respondent noted that we need more community meetings so members of the community can share their ideas. ,"Garbage collection (1): Many of the respondents shared the need for better garbage collection and systems for sorting recycling, litter, and compost. The focus was especially on collective responsibility to reduce littering and cleaning up after ourselves.     Active and Public Transportation (2): Several respondents shared the need for improved bike lanes on roads to make cycling more accessible for people. They also advocated for reduced rates for TTC to incentivize people to not use cars:      “The city keeps increasing the cost of the TTC fares and so for the cost of gasoline, people will ride public transit instead of driving their own cars. For example, we need to promote using the TTC by offering discounts so more people will go on the TTC instead of driving their cars and this will lower pollution by a lot. TTC could think about not increasing fares and instead offer discounts to promote ridership.”    Reduce car pollution (2): Several respondents noted that we need to reduce the number of cars on roads to reduce car pollution.     Ban Plastic Bags (2): Several respondents recommended banning plastic bags and using paper bags instead. For example, one respondent shared that they had to explain why plastic bags are poor for the environment at their workplace in a grocery store.     Additional recommendations: Respondents also recommended limiting carbon emissions by imposing a higher carbon tax; reducing construction levels; and reducing smoking, which they referred to as pollution of the environment and the mind. ","Social Distancing, Personal Protection, and Sanitation: Most respondents shared their satisfaction with the emergency public health measures calling for people to stay home, practice social distancing, limiting the amount of people in businesses, and making masks mandatory in public spaces. Respondents were also grateful for increased sanitation in grocery stores (e.g. grocery carts and baskets) and apartment buildings (e.g. elevators and door handles).     Mutual Aid and Grocery Supports: Many respondents shared that Parkdale gave a lot of support to people in delivering groceries to those who were unable to leave their homes. Respondents noted that groups like Parkdale People’s Economy and Mutual Aid Parkdale helped community members get groceries and other household supplies. One respondent shared that The local Tamil store helped by continuing to supply the community with needed groceries and items. Another community member shared that her son gave her a bunch of masks that she redistributed to members of her community.    Online Senior Supports: One respondent shared that they have seniors’ programs on ZOOM through West Neighbourhood House such as yoga and exercises. In a way it is good to have gatherings like this, but there is still a need to be safe and not go out too much.","Public Health Measures: We need to create formal screening systems in public spaces such as public transit, schools, etc. Some people are unable to get masks due to unavailability in stores and so masks need to be handed out freely. When schools reopen, we need better safety measures in place.    Addressing Gun Violence: We need to address gun violence, especially in Parkdale: “If police can implement better strategies to decrease gun violence, I would feel safer in the community.”    Seniors Support: The senior homes in our community need to be safeguarded in better ways especially because they are vulnerable due to old age. We must take care of them and so these senior homes need better safety precautions and regulations. Many seniors are unable to go grocery shopping and we need continued assistance for them at the community level.  Pharmacies and doctors need to be more accessible especially now for those who are sick and the elderly.    Interest Rates: Many banks should decrease their interest rates because many people have gone bankrupt because of high interest rates that have persisted for a long time. Banks need to help patrons with    Support Local Businesses: Many businesses are on the verge of closing and the City needs to provide some financial aid so they should not close. The government needs to step in and help with the financial and economic recovery of businesses.    Food Security Programs We need better food programs for the community to ensure children are eating healthily. Many children eat junk food and this needs to be lessened and we need more healthy food options.     Toronto Community Housing: Community housing needs to be more clean, more safe, more live-able; appliances need to be more durable. Housing needs to be more affordable, we cannot afford rent increases.    Supports for Working Class Communities: Rent keeps increasing. Transit needs to be better; we need more buses to maintain social distancing. ",,,,,
11827667275,6,,,,1,,1,,,1,,,,,,,,,,"  -Income lost .. Lost their job  -No money and no status.   -Stressful , lonely and sad. A lot of worry and uncertainty about the future (it would -be hard as it may last 2- 1 years)   -Negatively affect the health condition, particular who has bad health condition already. Cannot access health services : hard to have appointment.  -cannot communicate when booking being cancel or change because of language barrier    - stay at home alone ,   ","- support from ** on safety issue because a lot robbery  - support of applying license and access information   - Advocacy of stop the investigation , the inspection of bylaw and police were too frequently   ","- spread the information and message in different language   -provide funding and support the grassroot organization , like ** to reach out the marginalized   - the city should not require  the people who apply license of holistic practitioners provide he proof of their immigration status (which violate the Access TO Policy ). Some of us have expired work permit or people cannot get the work permit due to the delay of immigration process can work in holistic centre.   - allow the workers in holistic centre to lock the door that they can protect their safety because they are being charged of violating the bylaw if they lock their door ","- provide support to the grassroots organization to reach out the marginalized,. eg refugee, undocumented , migrant and newcomer 	  provide income support to all   -	access health for all   -	status for all   -	Allow the workers in holistic centre to lock the door   -    anti-racism education   ",stop racism and harassment by the law enforcement . stop excessive inspection Provide rental support to the tenant (including resident)   Increase the OW because the $10 is not enough for survive in Toronto ,"support small business. Do not investigate the holistic centre and interrupt the services ,. Should allow the business to lock the door to work safely. ","consult the marginalized community, having meeting,. providing interoperation services. listen to the voices of the community,. should not just do fake consultation ",NIL,"** is a platform which facilitate the communication , information sharing of between the workers. It makes them less lonely and empowered ","** is an important platform to support our community,. We are working in massage parlours (holistic centre) . We should able to work .  ",,,,,
11827643805,5,M4P,,,,,,1,,,1,1,,,,,,,,"All participants noted they felt sad anxious, overwhelmed and lonely, they also said that is how other people in the building generally feel too.  They mentioned the loss of access to social programs and services as well as supports from PSW's and other community agencies.  They got creative and figured out how to get food to the tenants in need through various organizations like Sprint Senior Care and church groups.","Income supports OAS, ODSP, Seniors' care and seniors programs, drop in meals, parks and public spaces, reliable safe transit, recreational facilities and programs, food security","MENTAL HEALTH SUPPORT and support around social isolation #1 for all the participants!  #2 income support for those ""in the middle seniors"" who don't qualify for ODSP but are not quite old enough for OAS or GIS, ""these people fell through the cracks in terms of money""  #1 ""safety and adherence to the new rules of living in a COVID world""...""not everyone wears a mask"" ...""they need to make it mandatory in common areas in [TCHC] buildings"". #1 food security programs","#1These residents all use ambulation aids, over half use walkers and some use canes.  One thing they would like to see is key infrastructure like sidewalks repaired to make exercise, getting out and around easier.  #2 ""if things are going to be computers and digital, we need someone to help us learn that""...""some sort of classes with people who can walk us through""","#1 health care supports for seniors  Mental health is the priority  #2 income support for seniors ""the cost of living keeps going up faster than increases [to OAS and ODSP]""  #1 Social programs to reduce isolation","We did not cover this question.  Most of these people shop locally in their own community area, they generally don't venture farther than as far as they can walk.","""This [survey] helps, but it would be great if they came to talk to us in person, when COVID is all over"".  ""have a citizens advisory committee to work with decision makers""... ",We did not discuss this question.,The tenants checked in on other tenants.   Key informants [tenants who know everyone and keep an eye out] kept outside organizations in the know of when some of their neighbours were experiencing distress.  Strong tenant collaboration with TCHC and Sprint Senior Care.,"This group wanted stronger enforcement of mask wearing and social distancing.  We did this focus group in a large community activity room in masks and socially distanced.   Better access to wifi in social housing buildings ""if things are going digital"" some tenants can not afford technology.  Affordable access program?",,,,,
